County,State,Population_Estimate_2015,Population_Estimate_2016,Population_Estimate_2017,LACCESS_POP15,LACCESS_LOWI15,LACCESS_HHNV15,LACCESS_CHILD15,LACCESS_SENIORS15,GROC16,SUPERC16,CONVS16,SPECS16,WICS16,GROCPTH16,SUPERCPTH16,CONVSPTH16,SPECSPTH16,WICSPTH16,FFR16,FSR16,FFRPTH16,FSRPTH16,FOODINSEC_15_17,VLFOODSEC_15_17,FMRKT_WIC18,FMRKT_WICCASH18,POVRATE15,CHILDPOVRATE15,PCT_WIC17
Autauga County,Alabama,"54,838","55,242","55,443",17496.69304,6543.676824,677.6727692,4616.97148,2180.809285,3,1,31,1,5,0.0542711,0.0180904,0.560801766,0.0180904,0.090510845,44,31,0.7959767,0.560801766,16.3,7.1,0,0,12.7,18.8,2.543569611
Baldwin County,Alabama,"202,995","207,712","212,619",30561.26443,9886.831137,1394.162766,7007.972675,5580.66279,29,7,118,27,28,0.139752975,0.0337335,0.568650034,0.130114838,0.134802029,156,236,0.751774622,1.137300069,16.3,7.1,0,0,12.9,19.6,2.543569611
Barbour County,Alabama,"26,294","25,819","25,158",6069.523628,2948.790251,425.1449274,1031.927776,824.1752624,4,1,19,2,6,0.155195158,0.0387988,0.737177,0.077597579,0.232387006,23,14,0.892372158,0.543183053,16.3,7.1,0,0,32,45.2,2.543569611
Bibb County,Alabama,"22,562","22,576","22,555",969.378841,596.1628288,224.3881246,232.6426702,137.6882309,5,1,15,0,5,0.220916361,0.0441833,0.662749083,0,0.221474126,7,7,0.309282905,0.309282905,16.3,7.1,0,0,22.2,29.3,2.543569611
Blount County,Alabama,"57,522","57,517","57,827",3724.428242,1650.959482,719.931444,910.686113,505.9142824,5,1,27,0,8,0.086862861,0.0173726,0.469059449,0,0.139089316,23,12,0.39956916,0.208470866,16.3,7.1,1,0,14.7,22.2,2.543569611
Bullock County,Alabama,"10,400","10,381","10,176",4141.900365,2154.7893,415.8613008,616.7153899,566.5393544,3,0,6,0,3,0.2873288,0,0.5746576,0,0.288989514,3,1,0.2873288,0.095776267,16.3,7.1,0,0,39.6,51.2,2.543569611
Butler County,Alabama,"20,176","20,029","19,898",1304.328756,612.9347608,320.168301,264.1401156,254.7681402,3,1,22,0,4,0.15026296,0.0500877,1.101928375,0,0.199710414,18,9,0.901577761,0.450788881,16.3,7.1,0,0,25.8,36,2.543569611
Calhoun County,Alabama,"115,536","115,018","114,664",27785.98677,10883.20997,1235.289629,6167.764487,4455.312468,27,4,84,1,20,0.234823448,0.0347887,0.730561837,0.0086972,0.173885822,95,75,0.826230649,0.652287354,16.3,7.1,0,0,20,30.7,2.543569611
Chambers County,Alabama,"34,007","33,771","33,758",7131.505717,3533.916216,730.2010667,1595.35385,1266.433475,7,1,22,1,6,0.207610404,0.0296586,0.652489842,0.0296586,0.17766723,29,18,0.860100246,0.533855325,16.3,7.1,0,0,22.4,34.4,2.543569611
Cherokee County,Alabama,"25,739","25,776","25,815",103.5224989,57.46490172,299.8869228,18.74760093,13.77900349,5,1,18,0,4,0.19405418,0.0388108,0.698595048,0,0.155183122,15,12,0.58216254,0.465730032,16.3,7.1,0,0,19.4,30.2,2.543569611
Chilton County,Alabama,"43,717","43,896","44,117",1469.89911,637.4195275,641.1107684,337.0499231,246.4547517,5,1,33,3,6,0.114077116,0.0228154,0.752908966,0.06844627,0.136686713,22,23,0.501939311,0.524754734,16.3,7.1,0,0,20.2,28.1,2.543569611
Choctaw County,Alabama,"13,233","13,049","12,935",2702.895199,1010.379176,423.0366236,557.5538692,452.8804652,3,0,15,0,3,0.229885057,0,1.149425287,0,0.22990267,6,7,0.459770115,0.536398467,16.3,7.1,0,0,24.4,33.5,2.543569611
Clarke County,Alabama,"24,703","24,349","24,097",5712.926332,2881.596829,943.7213259,1523.27705,842.5925592,6,2,13,1,8,0.246406571,0.082135524,0.533880903,0.0410678,0.328555584,25,13,1.026694045,0.533880903,16.3,7.1,0,0,22.2,30.9,2.543569611
Clay County,Alabama,"13,413","13,393","13,367",642.7409199,324.1809049,192.8890387,143.2278427,109.3991982,3,0,6,0,3,0.223713647,0,0.447427293,0,0.223997608,4,8,0.298284862,0.596569724,16.3,7.1,0,0,18.4,27.3,2.543569611
Cleburne County,Alabama,"14,917","14,853","14,906",789.5351429,310.177285,209.2639517,188.5216706,112.0748496,2,0,12,0,4,0.134471862,0,0.806831171,0,0.269305855,5,2,0.336179654,0.134471862,16.3,7.1,0,0,18.9,27.7,2.543569611
Coffee County,Alabama,"50,952","51,145","51,777",10486.08598,2987.491344,543.2931099,2569.549716,1103.329245,7,1,29,0,7,0.13667337,0.0195248,0.566218248,0,0.13686578,40,31,0.780990687,0.605267782,16.3,7.1,0,0,16.2,23.7,2.543569611
Colbert County,Alabama,"54,370","54,367","54,509",11095.6663,3565.961744,682.2699334,2607.221979,1868.019982,8,1,45,4,9,0.147256429,0.0184071,0.828317411,0.073628214,0.165541604,53,36,0.97557384,0.662653929,16.3,7.1,1,1,18.1,26.9,2.543569611
Conecuh County,Alabama,"12,680","12,501","12,435",3558.35944,1750.034804,325.6632103,694.9691778,749.7020029,1,0,15,0,2,0.079904115,0,1.198561726,0,0.159987196,7,3,0.559328805,0.239712345,16.3,7.1,0,0,28.3,41,2.543569611
Coosa County,Alabama,"10,938","10,826","10,757",2828.930334,1168.301536,280.1719889,500.4463765,564.9494347,1,0,8,0,1,0.092515496,0,0.740123971,0,0.09237022,1,1,0.092515496,0.092515496,16.3,7.1,0,0,20.3,32.2,2.543569611
Covington County,Alabama,"37,551","37,382","37,078",3769.122248,1650.453898,512.5427244,783.9709878,728.613374,6,1,34,3,7,0.160487883,0.026748,0.909431338,0.080243942,0.187255904,27,19,0.722195474,0.50821163,16.3,7.1,0,0,22.3,34.1,2.543569611
Crenshaw County,Alabama,"13,857","13,922","13,861",5278.966487,2369.451736,250.8755645,1278.332947,758.593092,4,0,7,1,3,0.287624937,0,0.50334364,0.071906234,0.215486288,8,6,0.575249874,0.431437406,16.3,7.1,0,0,19.9,29.6,2.543569611
Cullman County,Alabama,"81,764","82,456","82,836",5900.270202,2500.310001,1050.953043,1433.057497,1015.570676,15,2,53,4,12,0.182211317,0.0242948,0.643813318,0.0485897,0.145532161,63,43,0.765287529,0.522339107,16.3,7.1,0,0,19.4,24.7,2.543569611
Dale County,Alabama,"49,349","49,301","49,254",14036.97012,5306.194211,615.0935476,4144.065574,1364.677324,6,1,29,1,6,0.121881856,0.0203136,0.589095637,0.0203136,0.121701382,35,27,0.710977492,0.548468351,16.3,7.1,0,0,18.5,29,2.543569611
Dallas County,Alabama,"40,948","40,092","39,235",7640.056868,5063.957922,988.8099812,1941.888555,1246.919871,8,1,36,0,8,0.199595818,0.0249495,0.898181183,0,0.199541062,25,12,0.623736933,0.299393728,16.3,7.1,1,1,34.6,50.1,2.543569611
DeKalb County,Alabama,"71,112","71,101","71,404",2679.852662,1540.906864,739.9427629,890.0090642,258.2532407,16,1,50,3,11,0.224668614,0.0140418,0.702089418,0.0421254,0.154709503,40,32,0.561671534,0.449337228,16.3,7.1,0,0,20.6,28.9,2.543569611
Elmore County,Alabama,"80,924","81,263","81,416",15064.36659,5506.02451,981.2916718,3210.949788,1533.079912,8,2,55,0,9,0.098473658,0.0246184,0.677006401,0,0.11075151,39,40,0.480059084,0.492368291,16.3,7.1,0,0,14,19.9,2.543569611
Escambia County,Alabama,"37,665","37,488","36,999",5058.775403,2766.608819,567.5967619,1201.964583,843.729216,4,2,30,0,6,0.106734977,0.0533675,0.800512328,0,0.160051212,28,19,0.747144839,0.506991141,16.3,7.1,0,0,24.4,32,2.543569611
Etowah County,Alabama,"103,003","102,849","102,937",23289.82682,9817.063943,1360.397062,4933.015842,4543.736213,14,2,70,6,14,0.136284874,0.0194693,0.681424372,0.0584078,0.136121884,85,58,0.82744388,0.564608765,16.3,7.1,0,0,19,30.7,2.543569611
Fayette County,Alabama,"16,693","16,555","16,474",407.3867531,233.5222242,444.9219842,90.732398,71.38033756,4,1,8,0,4,0.241867215,0.0604668,0.48373443,0,0.241618842,13,9,0.786068448,0.544201234,16.3,7.1,0,0,20.4,29.4,2.543569611
Franklin County,Alabama,"31,541","31,654","31,590",3663.441736,1306.401173,456.15588,918.6996745,496.7614257,10,1,20,1,7,0.316686196,0.0316686,0.633372391,0.0316686,0.221141085,17,17,0.538366533,0.538366533,16.3,7.1,0,0,21.1,32.4,2.543569611
Geneva County,Alabama,"26,636","26,498","26,410",605.1933947,249.3572474,253.3625779,134.899977,93.38329902,10,0,15,1,7,0.377130789,0,0.565696183,0.0377131,0.264170885,10,19,0.377130789,0.716548499,16.3,7.1,0,0,22.4,34.8,2.543569611
Greene County,Alabama,"8,509","8,483","8,318",2962.991009,1930.426929,314.0422534,721.1120285,475.5195007,2,0,13,0,2,0.235626767,0,1.531573987,0,0.235765651,2,2,0.235626767,0.235626767,16.3,7.1,0,1,37.7,54.7,2.543569611
Hale County,Alabama,"15,018","14,835","14,809",1864.54135,732.4471013,601.9782979,428.4938194,294.9883486,2,0,12,0,2,0.134707348,0,0.80824409,0,0.134816319,10,4,0.673536741,0.269414697,16.3,7.1,0,0,28.5,38.6,2.543569611
Henry County,Alabama,"17,106","17,083","17,140",805.472428,370.6379022,317.6457136,146.7563945,175.0371023,2,0,12,2,4,0.117013808,0,0.702082846,0.117013808,0.234150916,13,8,0.76058975,0.468055231,16.3,7.1,0,0,17,27.5,2.543569611
Houston County,Alabama,"104,268","104,239","104,373",18340.74904,6379.797852,918.3181199,4485.839386,2481.792342,17,3,71,6,22,0.163190078,0.0287982,0.681558561,0.0575965,0.211053446,116,73,1.113532297,0.700757394,16.3,7.1,0,0,18.3,29.5,2.543569611
Jackson County,Alabama,"52,218","52,048","51,907",4218.966738,1741.859186,755.9317365,961.3403094,652.2841802,11,1,42,2,11,0.211339315,0.0192127,0.80693193,0.0384253,0.211343378,32,26,0.61480528,0.49952929,16.3,7.1,0,0,18.4,26.9,2.543569611
Jefferson County,Alabama,"660,370","660,326","659,546",205657.8678,80804.25186,7229.28466,49882.8024,25970.64624,107,19,459,40,79,0.162183382,0.0287989,0.695721239,0.0606293,0.119637877,709,392,1.074654375,0.594167158,16.3,7.1,1,0,18,26.2,2.543569611
Lamar County,Alabama,"13,925","13,927","13,902",229.9526122,109.3285386,238.5561045,52.4839962,37.98387996,4,0,9,0,4,0.286758907,0,0.645207542,0,0.287211895,6,7,0.430138361,0.501828088,16.3,7.1,0,0,24.7,33.8,2.543569611
Lauderdale County,Alabama,"92,477","92,457","92,591",12476.09671,4670.748106,1245.422925,2541.608172,2026.38679,19,3,49,4,18,0.205808122,0.032496,0.530768314,0.043328,0.194685102,71,69,0.769072455,0.747408442,16.3,7.1,1,1,17.3,23.9,2.543569611
Lawrence County,Alabama,"33,138","33,233","33,077",1648.244355,728.8412136,473.1504484,400.7185675,249.2459613,3,1,20,1,4,0.090274434,0.0300915,0.601829562,0.0300915,0.120362289,15,15,0.451372171,0.451372171,16.3,7.1,1,0,18.7,26.4,2.543569611
Lee County,Alabama,"157,009","159,297","161,641",36835.88687,17179.56149,1269.090941,7548.528821,2684.66457,18,3,79,2,16,0.113219652,0.0188699,0.496908474,0.01258,0.100441314,145,102,0.9120472,0.64157803,16.3,7.1,0,1,21,20.7,2.543569611
Limestone County,Alabama,"91,571","92,841","94,076",9339.421673,2912.563689,838.9781231,1706.17085,1421.280344,10,1,59,2,8,0.107619458,0.0107619,0.6349548,0.0215239,0.086168826,52,44,0.55962118,0.473525613,16.3,7.1,0,0,14.3,18.8,2.543569611
Lowndes County,Alabama,"10,353","10,253","10,104",2539.864392,1475.891758,455.8672131,711.2506775,354.5811705,2,0,9,0,2,0.195293428,0,0.878820428,0,0.195064858,1,2,0.097646714,0.195293428,16.3,7.1,0,0,35.2,46.7,2.543569611
Macon County,Alabama,"19,306","19,064","18,811",8050.779305,4641.926293,890.3258681,1716.83212,1056.148068,4,0,13,0,4,0.209731544,0,0.681627517,0,0.209819555,9,3,0.471895973,0.157298658,16.3,7.1,0,0,32.2,46.1,2.543569611
Madison County,Alabama,"352,989","356,821","361,665",88544.03045,25001.49288,2335.562215,21193.92173,9827.749177,46,14,217,23,44,0.129100339,0.0392914,0.609016817,0.06455017,0.123311125,333,223,0.934574193,0.625855991,16.3,7.1,4,0,13.3,19.1,2.543569611
Marengo County,Alabama,"19,760","19,516","19,366",5125.005617,2655.493659,574.561647,1257.125791,837.0627511,3,1,21,1,5,0.153806716,0.0512689,1.076647014,0.0512689,0.256200045,18,12,0.922840297,0.615226865,16.3,7.1,0,0,23.3,34.8,2.543569611
Marion County,Alabama,"30,123","29,964","29,771",1929.43172,1001.618039,535.5055797,425.1633118,367.8656876,3,2,23,2,6,0.100260678,0.066840452,0.768665196,0.066840452,0.200240284,19,21,0.634984292,0.701824744,16.3,7.1,0,0,19.8,30.4,2.543569611
Marshall County,Alabama,"94,606","95,123","95,609",10484.79843,4825.365658,1136.227181,2859.984217,1321.664777,22,3,74,4,16,0.231474175,0.0315647,0.778594952,0.0420862,0.168203279,80,62,0.841724272,0.652336311,16.3,7.1,0,0,20.1,32.7,2.543569611
Mobile County,Alabama,"414,935","415,499","414,515",103768.6435,42397.45022,3247.754796,26376.51271,13686.04782,56,10,250,25,55,0.134987899,0.024105,0.60262455,0.0602625,0.132370964,276,218,0.665297504,0.525488608,16.3,7.1,0,0,18.4,26.9,2.543569611
Monroe County,Alabama,"21,717","21,545","21,302",5711.640664,2961.82201,827.40221,1416.934228,938.620741,5,1,14,0,5,0.23178194,0.0463564,0.648989431,0,0.232072413,10,9,0.463563879,0.417207491,16.3,7.1,0,0,28.6,35.7,2.543569611
Montgomery County,Alabama,"227,244","227,072","227,079",66180.65498,33423.09991,2820.682724,17674.74411,6843.530965,34,6,149,13,25,0.14996736,0.0264648,0.657209901,0.0573405,0.110097237,218,145,0.961555426,0.639566683,16.3,7.1,0,0,22.8,33.8,2.543569611
Morgan County,Alabama,"119,281","118,970","118,811",15514.27958,4880.212745,978.9835779,3921.753459,2186.843207,18,2,95,4,17,0.151490923,0.0168323,0.799535428,0.0336646,0.142893165,90,64,0.757454616,0.538634393,16.3,7.1,1,0,16.4,24,2.543569611
Perry County,Alabama,"9,638","9,528","9,319",881.5494764,517.3827952,349.456143,159.2575368,217.6382582,3,0,8,0,3,0.313479624,0,0.835945664,0,0.314861447,2,6,0.208986416,0.626959248,16.3,7.1,1,0,40,54.4,2.543569611
Pickens County,Alabama,"20,776","20,309","20,182",529.13864,176.1656846,477.7190807,103.1906839,98.17733732,5,0,9,0,4,0.246123554,0,0.443022397,0,0.196957007,7,5,0.344572976,0.246123554,16.3,7.1,0,0,24.3,35.3,2.543569611
Pike County,Alabama,"33,522","33,521","33,435",4535.497138,2074.066321,563.044138,1009.184568,497.6718258,7,1,20,0,6,0.210748156,0.0301069,0.602137588,0,0.178992271,34,23,1.0236339,0.692458227,16.3,7.1,0,0,25.9,36,2.543569611
Randolph County,Alabama,"22,598","22,508","22,683",3374.629464,1561.631639,457.7058926,810.1251029,525.1357038,3,1,20,2,4,0.133345186,0.0444484,0.888967908,0.088896791,0.177714586,10,7,0.444483954,0.311138768,16.3,7.1,0,0,18.7,31.7,2.543569611
Russell County,Alabama,"58,837","58,208","57,028",6225.855694,2936.812958,603.5345766,1455.563899,929.2611072,12,1,35,0,11,0.206267081,0.0171889,0.601612321,0,0.188977465,48,23,0.825068326,0.39534524,16.3,7.1,0,0,23,36.3,2.543569611
St. Clair County,Alabama,"86,546","87,323","87,976",4561.840118,1310.619878,683.4964636,1096.368401,597.6681726,14,3,53,1,12,0.160032921,0.0342928,0.605838915,0.0114309,0.137420833,55,42,0.628700761,0.480098763,16.3,7.1,0,0,12.4,17.5,2.543569611
Shelby County,Alabama,"209,084","211,430","213,729",47122.31837,8393.492716,1358.981215,12433.8385,5195.247904,26,5,106,9,26,0.123180132,0.0236885,0.502195923,0.0426393,0.122972146,162,120,0.767506976,0.568523686,16.3,7.1,1,0,8.5,10.2,2.543569611
Sumter County,Alabama,"13,206","12,974","12,780",2304.525378,1427.620249,593.5605493,541.6830274,404.3782018,2,0,20,0,4,0.154655119,0,1.546551191,0,0.308308929,8,6,0.618620476,0.463965357,16.3,7.1,0,0,33.2,44.2,2.543569611
Talladega County,Alabama,"81,055","80,468","80,022",11038.38725,4817.862041,1244.862038,2557.136264,1555.479288,8,2,78,0,12,0.099519817,0.02488,0.970318215,0,0.149127603,50,44,0.621998856,0.547358993,16.3,7.1,0,1,22.4,31.1,2.543569611
Tallapoosa County,Alabama,"40,611","40,570","40,613",3484.730858,1799.873021,1064.985018,754.1766828,690.1461704,6,1,35,0,8,0.147877951,0.0246463,0.862621383,0,0.197190046,23,19,0.56686548,0.468280179,16.3,7.1,0,0,21.7,34.5,2.543569611
Tuscaloosa County,Alabama,"204,736","206,614","207,709",34859.58024,12641.04349,1416.145729,7647.39852,3919.3507,25,4,128,4,22,0.121193318,0.0193909,0.620509788,0.0193909,0.106478751,171,122,0.828962294,0.591423391,16.3,7.1,0,1,20,25.1,2.543569611
Walker County,Alabama,"64,933","64,548","63,935",7858.659654,3491.945044,1195.296728,1775.324,1162.076273,10,2,47,0,11,0.154892272,0.0309785,0.72799368,0,0.170415819,45,39,0.697015226,0.604079862,16.3,7.1,0,0,20.6,31.1,2.543569611
Washington County,Alabama,"16,828","16,610","16,532",1478.896947,630.0267184,275.0898538,398.207005,229.4978916,3,0,10,0,3,0.180223477,0,0.600744924,0,0.180614084,2,5,0.120148985,0.300372462,16.3,7.1,0,0,22.4,31.5,2.543569611
Wilcox County,Alabama,"10,903","10,851","10,712",4997.128568,3555.235862,597.5051522,1336.624194,746.6462012,7,0,9,0,5,0.643678161,0,0.827586207,0,0.460787028,3,2,0.275862069,0.183908046,16.3,7.1,0,0,33.2,49.2,2.543569611
Winston County,Alabama,"23,929","23,906","23,745",1459.032655,650.0533453,407.1480827,331.320442,263.0160919,6,0,24,0,6,0.251182652,0,1.004730607,0,0.25098303,11,17,0.460501528,0.71168418,16.3,7.1,0,0,18.9,29.3,2.543569611
Aleutians East Borough,Alaska,"3,381","3,388","3,495",2203.00003,1097.387178,121.3170448,219.9999962,97.99999907,4,0,0,0,3,1.203369434,0,0,0,0.885478139,1,1,0.300842359,0.300842359,11.6,3.7,0,0,17.4,15.5,2.458541447
Aleutians West Census Area,Alaska,"5,781","5,698","5,726",1243.229053,476.8027975,139.5008316,209.0351916,76.21187723,4,0,1,1,3,0.696015312,0,0.174003828,0.174003828,0.526500523,0,4,0,0.696015312,11.6,3.7,0,0,8.5,8.5,2.458541447
Anchorage Municipality,Alaska,"297,613","297,216","294,264",80039.72364,14923.51128,993.5472722,20527.21294,5427.888248,33,13,51,20,24,0.110970623,0.0437157,0.171500054,0.067254923,0.080749355,208,247,0.6994512,0.8305983,11.6,3.7,6,5,8.7,12.4,2.458541447
Bethel Census Area,Alaska,"17,955","18,019","18,079",11504.86349,7143.35017,2488.985747,4363.527913,764.0721545,23,0,5,0,14,1.27919911,0,0.278086763,0,0.776957631,6,6,0.333704116,0.333704116,11.6,3.7,0,0,24.2,31.5,2.458541447
Bristol Bay Borough,Alaska,905,903,870,996.9999981,176.1024336,41.44974882,225.0000012,83.00000021,2,0,0,0,2,2.209944751,0,0,0,2.214839458,0,2,0,2.209944751,11.6,3.7,0,0,9,8.6,2.458541447
Denali Borough,Alaska,"1,927","2,039","2,066",1826.000014,418.7696352,3.625863904,411.0000025,137.0000001,1,0,3,0,,0.488997555,0,1.466992665,0,,3,6,1.466992665,2.93398533,11.6,3.7,0,0,6.6,10.2,2.458541447
Dillingham Census Area,Alaska,"4,987","4,970","4,935",2461.509666,1560.616205,541.4200812,894.0181943,187.0000006,4,0,1,0,3,0.803858521,0,0.20096463,0,0.603621721,1,2,0.20096463,0.40192926,11.6,3.7,0,0,20,30.4,2.458541447
Fairbanks North Star Borough,Alaska,"99,630","100,683","99,725",33612.38394,7100.793605,819.0007292,8925.389602,1863.709458,7,4,24,6,8,0.069581122,0.0397606,0.238563846,0.059641,0.079457305,44,69,0.43736705,0.685871056,11.6,3.7,3,0,8.1,10.1,2.458541447
Haines Borough,Alaska,"2,516","2,527","2,518",518.8941366,186.6198209,30.82692701,98.61738151,58.28279315,3,0,0,0,2,1.185302252,0,0,0,0.791452289,1,5,0.395100751,1.975503753,11.6,3.7,0,0,10.9,20.2,2.458541447
Hoonah-Angoon Census Area,Alaska,"2,137","2,128","2,139",2136.904788,833.5112167,262.3165505,418.0000016,286.999999,4,0,3,1,2,0,0,0,0,0.939849615,2,1,0,0,11.6,3.7,0,0,16.2,29.2,2.458541447
Juneau City and Borough,Alaska,"32,601","32,400","32,061",10062.6729,1847.190111,326.6536421,2592.484198,713.6300101,4,3,7,3,5,0.123437741,0.092578306,0.216016047,0.092578306,0.154320985,28,31,0.864064188,0.956642493,11.6,3.7,0,0,8,10.1,2.458541447
Kenai Peninsula Borough,Alaska,"58,029","58,452","58,522",10888.78506,3232.789851,868.9158729,2687.927258,1281.299694,17,2,18,9,11,0.290384845,0.0341629,0.307466307,0.153733153,0.188188598,44,69,0.751584306,1.178620843,11.6,3.7,3,1,11.4,14,2.458541447
Ketchikan Gateway Borough,Alaska,"13,706","13,714","13,882",1062.598917,217.5016473,48.42102737,268.1511233,105.9073589,4,0,3,6,3,0.291396518,0,0.218547388,0.437094777,0.21875456,11,13,0.801340424,0.947038683,11.6,3.7,0,0,10.3,14.4,2.458541447
Kodiak Island Borough,Alaska,"13,766","13,710","13,519",1948.659208,626.0822675,95.646433,601.6891199,97.30710718,5,0,2,1,2,0.365523796,0,0.146209518,0.073104759,0.145878926,6,11,0.438628555,0.80415235,11.6,3.7,0,0,7.5,9.3,2.458541447
Kusilvak Census Area,Alaska,"8,187","8,174","8,230",1628.68562,709.7515764,272.0474083,491.7511724,125.2018202,2,0,2,0,1,1.248439451,0,1.248439451,0,0.625782251,0,0,0,0,11.6,3.7,0,0,19.3,31.4,2.458541447
Lake and Peninsula Borough,Alaska,"1,592","1,598","1,607",23011.25533,6784.926225,740.7372748,6285.848063,1917.929194,10,3,17,5,6,0.09604026,0.0288121,0.163268442,0.0480201,0.057605345,36,54,0.345744936,0.518617404,11.6,3.7,1,1,9.8,11.8,2.458541447
Matanuska-Susitna Borough,Alaska,"101,068","104,157","106,383",5276.007638,3615.820303,1293.655513,1989.889675,322.8693289,19,0,1,0,15,1.916288452,0,0.100857287,0,1.505872846,1,10,0.100857287,1.008572869,11.6,3.7,0,0,21.4,27.6,2.458541447
Nome Census Area,Alaska,"9,885","9,961","9,968",5522.182352,1244.494401,584.7213971,944.7292187,229.0737555,8,0,2,0,6,0.826019618,0,0.206504904,0,0.617411017,3,4,0.309757357,0.413009809,11.6,3.7,0,0,12.6,17.6,2.458541447
North Slope Borough,Alaska,"9,795","9,718","9,831",4322.062938,2561.965826,829.8414235,1618.950981,245.9509862,8,0,2,0,13,1.044113808,0,0.261028452,0,1.690726995,3,1,0.391542678,0.130514226,11.6,3.7,0,0,26.3,34.9,2.458541447
Northwest Arctic Borough,Alaska,"7,771","7,689","7,767",180.2305477,25.25958408,22.24101296,48.4784221,14.7214776,3,0,4,2,3,0,0,0,0,0.917431176,3,1,0,0,11.6,3.7,0,0,7.9,10.3,2.458541447
Petersburg Borough,Alaska,"3,259","3,270","3,259",1758.792648,820.7861325,274.6470379,362.4727784,195.1334414,5,0,5,0,4,0,0,0,0,0.613873541,3,2,0,0,11.6,3.7,0,0,15.6,23.8,2.458541447
Prince of Wales-Hyder Census Area,Alaska,"6,505","6,516","6,469",1632.249762,367.0434028,121.7125033,400.8710088,162.8967856,4,0,2,0,3,0.45620438,0,0.22810219,0,0.343327999,4,7,0.45620438,0.798357664,11.6,3.7,1,1,9.2,10.4,2.458541447
Sitka City and Borough,Alaska,"8,778","8,738","8,686",2.999953762,0.488926064,2.503658891,0,0.70064373,2,0,1,2,,0,0,0,0,,2,9,0,0,11.6,3.7,0,0,3.7,6.3,2.458541447
Skagway Municipality,Alaska,"1,087","1,132","1,162",3323.084476,1323.155916,189.2452211,796.6091329,374.7371892,4,0,5,0,3,0.584795322,0,0.730994152,0,0.43802014,3,6,0.438596491,0.877192982,11.6,3.7,1,0,13.5,21.4,2.458541447
Southeast Fairbanks Census Area,Alaska,"6,804","6,849","6,885",5010.710886,1475.791806,181.9287834,1235.97954,379.5504999,8,0,8,2,4,0.856531049,0,0.856531049,0.214132762,0.429276675,7,14,0.749464668,1.498929336,11.6,3.7,0,0,9.5,12.2,2.458541447
Valdez-Cordova Census Area,Alaska,"9,322","9,318","9,224",4615.000002,3120.823723,1057.511768,1934,271.9999993,13,0,1,0,14,0,0,0,0,,0,0,0,0,11.6,3.7,,,,,2.458541447
Wrangell City and Borough,Alaska,"2,459","2,501","2,511",510.6244347,155.5623274,20.06835808,105.576736,70.54157463,3,0,1,0,2,0,0,0,0,0.799680114,1,1,0,0,11.6,3.7,0,0,12,16,2.458541447
Yakutat City and Borough,Alaska,635,613,607,662.000001,167.8456684,26.49056628,162.0000003,64.00000075,2,0,0,0,2,3.267973856,0,0,0,3.262642622,0,0,0,0,11.6,3.7,0,0,15.4,26.1,2.458541447
Yukon-Koyukuk Census Area,Alaska,"5,466","5,423","5,396",5587.999995,2779.799148,1116.94426,1552.000002,568.9999992,9,0,4,0,7,1.662971175,0,0.7390983,0,1.290798426,0,2,0,0.36954915,11.6,3.7,0,0,23.4,34.4,2.458541447
Apache County,Arizona,"71,022","71,403","71,545",50446.81414,33893.46295,2540.051738,16011.46854,5992.641511,9,0,41,0,27,0.126098104,0,0.57444692,0,0.378135383,12,17,0.168130806,0.238185308,17.4,6.5,0,0,38,44.7,2.18791585
Cochise County,Arizona,"126,502","125,782","124,990",55218.5392,19006.01813,1453.672929,11841.92087,10314.61039,16,3,59,9,17,0.127637509,0.023932,0.470663316,0.071796099,0.135154471,58,85,0.462685972,0.678074269,17.4,6.5,2,2,16.9,25.7,2.18791585
Coconino County,Arizona,"139,024","140,515","141,107",41435.55369,18592.683,1513.258059,11146.78845,4642.268737,20,3,80,12,22,0.142776576,0.0214165,0.571106304,0.085665946,0.156566918,128,169,0.913770087,1.206462068,17.4,6.5,2,1,19.5,20.7,2.18791585
Gila County,Arizona,"53,006","53,404","53,629",17451.06612,8482.627898,936.4039709,3944.268236,3846.810431,6,2,31,1,8,0.112576693,0.0375256,0.581646247,0.0187628,0.149801508,32,53,0.600409029,0.994427454,17.4,6.5,2,0,21.3,36.6,2.18791585
Graham County,Arizona,"37,873","37,823","37,501",13894.46277,7073.948659,451.0747296,4144.881698,1357.564542,6,1,18,2,5,0.158868854,0.0264781,0.476606561,0.0529563,0.132194698,15,16,0.397172134,0.423650277,17.4,6.5,1,1,22.9,26.9,2.18791585
Greenlee County,Arizona,"9,575","9,651","9,468",5895.55885,2577.203931,129.1335893,1703.686653,686.1574574,2,0,6,0,1,0.207835394,0,0.623506183,0,0.103616208,3,7,0.311753092,0.72742388,17.4,6.5,0,0,10.1,11.3,2.18791585
La Paz County,Arizona,"20,483","20,661","20,735",8846.861616,3883.631241,514.6263979,885.767219,4301.447382,6,1,21,1,6,0.292354919,0.0487258,1.023242216,0.0487258,0.290402204,16,29,0.779613117,1.413048775,17.4,6.5,0,0,22.2,36.9,2.18791585
Maricopa County,Arizona,"4,175,049","4,258,603","4,329,580",511215.5724,167933.0171,13845.2202,122203.7978,86014.56148,467,97,970,213,417,0.110313666,0.0229131,0.22913117,0.0503144,0.097919434,3055,2495,0.721645077,0.589363164,17.4,6.5,17,16,16.3,23,2.18791585
